Quarters;BAA10Y;FFR;INV_growth
2001-10-01;3.16;2.13;-11.1
2002-01-01;2.88;1.73;-4.1
2002-04-01;2.92;1.75;-2.7
2002-07-01;3.36;1.74;-0.7
2002-10-01;3.60;1.44;4.4
2003-01-01;3.20;1.25;2.2
2003-04-01;2.85;1.25;1.3
2003-07-01;2.58;1.02;5.1
2003-10-01;2.38;1.00;8.7
2004-01-01;2.26;1.00;8.1
2004-04-01;2.06;1.01;11.6
2004-07-01;2.15;1.43;9.4
2004-10-01;2.01;1.95;8.0
2005-01-01;1.67;2.47;10.8
2005-04-01;1.81;2.94;5.2
2005-07-01;1.77;3.46;4.9
2005-10-01;1.85;3.98;6.1
2006-01-01;1.73;4.46;4.8
2006-04-01;1.67;4.91;5.5
2006-07-01;1.70;5.25;3.7
2006-10-01;1.65;5.25;-1.5
2007-01-01;1.62;5.26;-3.6
2007-04-01;1.64;5.25;-1.9
2007-07-01;1.90;5.07;-2.5
2007-10-01;2.24;4.50;-1.8
2008-01-01;3.08;3.18;-3.7
2008-04-01;3.11;2.09;-6.5
2008-07-01;3.34;1.94;-7.5
2008-10-01;5.58;0.51;-15.3
2009-01-01;5.49;0.18;-23.1
2009-04-01;4.65;0.18;-26.2
2009-07-01;3.15;0.16;-24.8
2009-10-01;2.86;0.12;-9.2
2010-01-01;2.57;0.13;5.0
2010-04-01;2.69;0.19;17.3
2010-07-01;2.99;0.19;22.8
2010-10-01;3.04;0.19;12.1
2011-01-01;2.63;0.16;7.5
2011-04-01;2.65;0.09;6.3
2011-07-01;3.04;0.08;2.1
2011-10-01;3.21;0.07;10.4
2012-01-01;3.16;0.10;14.8
2012-04-01;3.27;0.15;12.9
2012-07-01;3.23;0.14;13.0
2012-10-01;2.87;0.16;4.0
2013-01-01;2.86;0.14;5.7
2013-04-01;2.84;0.12;4.4
2013-07-01;2.70;0.08;8.0
2013-10-01;2.61;0.09;9.3
2014-01-01;2.35;0.07;4.2
2014-04-01;2.20;0.09;7.4
2014-07-01;2.24;0.09;5.6
2014-10-01;2.46;0.10;5.3
2015-01-01;2.53;0.11;10.2
2015-04-01;2.67;0.12;6.0
2015-07-01;3.02;0.14;3.7
2015-10-01;3.23;0.16;2.3
2016-01-01;3.38;0.36;-1.7
2016-04-01;2.91;0.37;-2.9
2016-07-01;2.69;0.40;-2.6
2016-10-01;2.50;0.45;1.2
2017-01-01;2.22;0.70;1.5
2017-04-01;2.23;0.95;3.4
2017-07-01;2.09;1.15;5.2
2017-10-01;1.90;1.20;4.0
2018-01-01;1.71;1.45;7.1
2018-04-01;1.86;1.74;5.8
2018-07-01;1.89;1.92;6.5
2018-10-01;2.10;2.22;5.9
2019-01-01;2.32;2.40;4.2
2019-04-01;2.26;2.40;2.9
2019-07-01;2.23;2.19;0.9
2019-10-01;2.12;1.64;-1.0
2020-01-01;2.54;1.26;-4.2
2020-04-01;3.22;0.06;-16.9
2020-07-01;2.67;0.09;-3.4
2020-10-01;2.43;0.09;3.7
2021-01-01;2.15;0.08;4.9
